"Status","DaysEnrollToStart","Campus1","Campus2","ProgramVersionBSDH2017","ProgramVersionBSN2013","ProgramVersionBSN2015","DaysLeadToEnroll","GenderFemale","MaritalStatusDivorced","MaritalStatusMarried","MaritalStatusSeparated","MaritalStatusSingle","MaritalStatusWidowed","AgeAtLead","IsVeteran1","IsHispanic1","FinancialAidAdvisorID1"
"1",73,1,0,0,0,1,0,0,0,1,0,0,0,30,0,0,1
"1",150,0,1,0,0,1,-1,1,0,0,0,0,0,21,0,0,0
"0",119,0,1,0,0,1,17,0,0,0,0,1,0,22,0,0,1
"1",130,1,0,0,0,0,3,1,0,0,0,1,0,25,0,0,1
"0",97,0,0,0,0,1,712,1,0,0,0,1,0,30,0,1,1
"0",73,1,0,0,0,1,-1,0,0,1,0,0,0,21,0,0,1
"1",77,1,0,0,0,1,-1,1,0,0,0,1,0,23,0,0,1
"0",151,0,0,0,0,1,-1,1,0,0,0,1,0,20,0,1,1
"0",115,0,0,0,0,1,50,0,0,1,0,0,0,39,0,0,1
"0",3,1,0,0,0,1,721,1,0,1,0,0,0,23,0,1,1
"0",252,0,0,0,0,1,326,1,0,0,0,1,0,25,0,0,1
"0",89,1,0,0,0,1,-1,1,0,0,0,1,0,25,0,0,1
"1",75,0,1,0,0,1,-1,1,0,0,0,1,0,39,0,0,1
"0",75,1,0,0,0,1,23,1,0,0,0,1,0,24,0,0,1
"1",119,1,0,0,0,1,-1,1,0,1,0,0,0,29,0,1,1
"0",116,0,1,0,0,1,-1,1,0,0,0,1,0,20,0,1,1
"0",118,0,1,0,0,1,31,1,0,0,0,1,0,23,0,1,1
"1",24,1,0,0,0,1,434,0,0,1,0,0,0,25,0,1,0
"0",108,0,1,0,0,1,-1,1,0,0,0,1,0,23,0,0,1
"0",136,0,0,0,0,1,0,0,0,0,0,1,0,21,0,1,1
"1",90,0,1,0,0,1,2462,1,0,1,0,0,0,24,0,0,1
"0",67,0,0,0,0,1,-1,0,0,0,0,1,0,25,0,0,1
"0",69,0,1,0,0,1,13,1,0,0,0,1,0,31,0,0,1
